type,title,pdf,link,slides,authors,conference,location,month,year
journal,Solar+ Optimizer: A Model Predictive Control Optimization Platform for Grid Responsive Building Microgrids,solarplus.pdf,https://www.mdpi.com/1996-1073/13/12/3093#cite,,"Anand Krishnan Prakash, Kun Zhang, Pranav Gupta, David Blum, Marc Marshall, Gabe Fierro, Peter Alstone, James Zoellick, Richard Brown and Marco Pritoni",Energies,,June,2020
journal,Mortar: An Open Testbed for Portable Building Analytics,mortar2020fierro.pdf,,,"Gabe Fierro, Marco Pritoni, Moustafa AbdelBaky, Paul Raftery, Therese Peffer, Greg Thomson, David E. Culler",ACM Transactions on Sensor Networks,,January,2020
journal,Democratizing Authority in the Built Environment,democratizing2018anderson.pdf,,,"Michael P Andersen, John Kolb, Kaifei Chen, Gabe Fierro, David E. Culler, Randy Katz",ACM Transactions on Sensor Networks,December,,2018
journal,Design and Analysis of a Query Processor for Brick,hoddb2018fierro.pdf,,,"Gabe Fierro, David E. Culler",ACM Transactions on Sensor Networks,,January,2018
journal,Automated Disambiguation of US Patent Grants and Applications,AutomatedDisambiguation-of-US-Patent-Grants-and-Applications.pdf,,,"Benjamin Balsmeier, Alireza Chavosh, Guan-Cheng Li, Gabe Fierro, Kevin Johnson, Aditya Kaulagi, Doug O’Reagan, Bill Yeh, Lee Fleming",Fung Institute for Engineering Leadership,"Berkeley, CA, USA",,2015
workshop,Dataset: An Open Dataset and Collection Tool for BMS Point Labels,BuildingMetadataDataset-DATA-2019-Fierro.pdf,,,"Gabe Fierro, Sriharsha Guduguntla, David E. Culler",2nd Workshop on Data Acquisition To Analysis (DATA),"New York, NY, USA",November,2019
workshop,BAS: Building Application Stack,bas.pdf,,,"Andrew Krioukov, Gabe Fierro, Nikita Kitaev, David E. Culler",4th ACM Workshop On Embedded Sensing Systems For Energy-Efficiency In Buildings,"Toronto, Canada",November,2012
misc,Survey of Metadata Schemas for Data-Driven Smart Buildings,annex81metadatasurvey.pdf,https://annex81.iea-ebc.org/publications,,"Gabe Fierro, Pieter Pauwels",CSIRO,,June,2022
misc,Self-Adapting Software for Cyberphysical Systems,fierro-dissertation.pdf,https://www2.eecs.berkeley.edu/Pubs/TechRpts/2021/EECS-2021-159.html,,"Gabe Fierro",PhD Thesis,"Berkeley, CA, USA",May,2021
misc,CoVista: A Unified View on Privacy Sensitive Mobile Contact Tracing Effort,covista-2020.pdf,https://arxiv.org/abs/2005.13164,,"David Culler, Prabal Dutta, Gabe Fierro, Joseph E. Gonzalez, Nathan Pemberton, JohannSchleier-Smith, K. Shankari, Alvin Wan, and Thomas Zachariah",arXiv,,May,2020
misc,Design of an Effective Ontology and Query Processor Enabling Portable Building Applications,fierro_masters_thesis.pdf,https://www2.eecs.berkeley.edu/Pubs/TechRpts/2019/EECS-2019-106.html,,Gabe Fierro,Masters Thesis,"Berkeley, CA, USA",June,2019
misc,WAVE: A Decentralized Authorization System for IoT via Blockchain Smart Contracts,wave_techreport.pdf,https://www2.eecs.berkeley.edu/Pubs/TechRpts/2017/EECS-2017-234.html,,"Michael P Andersen, John Kolb, Kaifei Chen, Gabriel Fierro, David E. Culler and Raluca Ada Popa.",Technical Report No. UCB/EECS-2017-234,,December,2017
misc,XBOS: An Extensible Building Operating System,EECS-2015-197.pdf,http://www.eecs.berkeley.edu/Pubs/TechRpts/2015/EECS-2015-197.pdf,,"Gabe Fierro and David E. Culler",Technical Report No. UCB/EECS-2015-197,,September,2015
demo,"Demo Abstract: Zone-level occupancy counting with existing infrastructure",zonelevelocc.pdf,,,"Gabe Fierro, Omar Rehmane, Andrew Krioukov, David E. Culler",4th ACM Workshop On Embedded Sensing Systems For Energy-Efficiency In Buildings,"Toronto, Canada",November,2012
demo,"Demo Abstract: Interactive Metadata Integration with Brick",interactive2020fierro.pdf,,,"Gabe Fierro, Anand Krishnan Prakash, Cory Mosiman, Marco Pritoni, Paul Raftery, Michael Wetter, David E Culler","Proceedings of the 7th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation","Virtual Event, Japan",November,2020
